Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.08174861084828,-70.08174861084828,-69.99987384719155,-70.0,-63.613368705642465
-70.08207330224607,-70.08207330224607,-69.99987352136975,-70.0,-63.59637514124132
-70.08239732132331,-70.08239732132331,-69.99987319716885,-70.0,-63.57946279458787
-70.08272066927333,-70.08272066927333,-69.99987287458077,-70.0,-63.56263128191172
-70.08304334728801,-70.08304334728801,-69.99987255359751,-70.0,-63.545880221240786
-70.08336535655779,-70.08336535655779,-69.99987223421107,-70.0,-63.529209232392944
-70.08368669827163,-70.08368669827163,-69.99987191641351,-70.0,-63.51261793696768
-70.084007373617,-70.084007373617,-69.99987160019691,-70.0,-63.496105958337864
-70.08432738377985,-70.08432738377985,-69.99987128555343,-70.0,-63.47967292164148
-70.08464672994464,-70.08464672994464,-69.99987097247524,-70.0,-63.46331845377344
-70.0849654132943,-70.0849654132943,-69.99987066095454,-70.0,-63.4470421833774
-70.08528343501023,-70.08528343501023,-69.99987035098358,-70.0,-63.430843740837645
-70.08560079627227,-70.08560079627227,-69.99987004255468,-70.0,-63.414722758271026
-70.08591749825878,-70.08591749825878,-69.99986973566013,-70.0,-63.39867886951887
-70.08623354214647,-70.08623354214647,-69.99986943029232,-70.0,-63.38271171013897
-70.08654892911053,-70.08654892911053,-69.99986912644364,-70.0,-63.366820917397646
-70.0868636603246,-70.0868636603246,-69.99986882410656,-70.0,-63.35100613026175
-70.08717773696068,-70.08717773696068,-69.99986852327353,-70.0,-63.33526698939082
-70.08749116018924,-70.08749116018924,-69.99986822393709,-70.0,-63.31960313712914
-70.08780393117912,-70.08780393117912,-69.99986792608978,-70.0,-63.30401421749799
-70.08811605109759,-70.08811605109759,-69.99986762972419,-70.0,-63.288499876187785
-70.08842752111028,-70.08842752111028,-69.99986733483296,-70.0,-63.273059760550346
-70.08873834238125,-70.08873834238125,-69.99986704140875,-70.0,-63.25769351959117
-70.08904851607292,-70.08904851607292,-69.99986674944425,-70.0,-63.24240080396174
-70.0893580433461,-70.0893580433461,-69.99986645893223,-70.0,-63.22718126595188
-70.08966692535998,-70.08966692535998,-69.99986616986544,-70.0,-63.212034559482106
-70.08997516327213,-70.08997516327213,-69.99986588223669,-70.0,-63.1969603400961
-70.09028275823847,-70.09028275823847,-69.99986559603884,-70.0,-63.18195826495309
-70.09058971141332,-70.09058971141332,-69.99986531126476,-70.0,-63.1670279928204
-70.09089602394931,-70.09089602394931,-69.99986502790738,-70.0,-63.15216918406594
-70.09120169699749,-70.09120169699749,-69.99986474595961,-70.0,-63.13738150065076
-70.09150673170723,-70.09150673170723,-69.99986446541449,-70.0,-63.12266460612166
-70.09181112922627,-70.09181112922627,-69.99986418626501,-70.0,-63.10801816560378
