x_axis_frequency,case1,case2,case3,case4,case5,case6
116,2.0861093613007536e-05,7.007453548217347e-06,6.144269680018101e-06,6.882984916881896e-06,1.1830472745550263e-05,4.0456635556458763e-07
117,2.335473830837056e-05,5.61357474593499e-07,-4.606572153478458e-06,1.4875005761893443e-05,2.2694552523483444e-05,2.1469148161156044e-06
118,1.579435916036862e-06,5.539006350062139e-06,4.517542761658657e-06,9.858974353426476e-06,4.391548592424952e-06,-7.51217433861602e-07
119,4.428735428403243e-06,2.9777061963897083e-06,6.591611461590364e-06,1.4457437756849057e-05,1.731240369703707e-05,6.678374528248315e-07
120,8.500471398550111e-06,7.690205076687215e-06,8.47753509626538e-06,1.6981294673881794e-05,3.250273076099231e-05,1.0994153238787152e-07
121,1.0412218305238718e-05,1.316163671141475e-06,1.3404188411208373e-05,6.28101464041947e-06,1.5930963011025454e-05,4.091638466299458e-07
122,9.97278867140586e-06,6.9111297714200795e-06,7.5732328268160206e-06,1.5823222094933597e-05,2.7761762084583082e-06,-4.696679080495887e-07
123,1.333761500873764e-06,-2.985763129164725e-06,2.863143998981494e-06,6.202569730096592e-06,7.813481763370233e-06,-8.762837208871613e-07
124,-1.5227274021158596e-06,-3.860308875396011e-06,1.742898043213878e-05,9.068038856489586e-06,1.3987330727399257e-05,-9.955023138561837e-07
125,-6.819770733736619e-06,6.604104206139055e-06,1.6407486954917054e-05,1.5395197028696768e-05,-6.057674654982091e-06,1.1652192176017382e-07
126,8.234522629172242e-06,1.6358171479152182e-05,5.6818722912726355e-06,2.5126979787725734e-06,-9.541530546026076e-06,2.7154595651752497e-07
127,1.7181005466388014e-05,2.0868876347053787e-05,4.877652216558943e-06,2.61535523930825e-07,-2.4481930078348334e-06,1.5730959100066077e-06
128,5.659887128119535e-06,4.502146980115965e-06,6.296910512519136e-06,-1.0858285080161507e-06,-5.588060912380362e-06,5.220294234976263e-07
129,2.6188976352774935e-06,1.2571843654901773e-05,5.2971292976199234e-06,3.129350371070141e-06,-1.0967778409317552e-06,4.6218010442581853e-07
130,2.8601766993176056e-06,1.4072479301379283e-05,1.3723133974685215e-05,6.9696674774700195e-06,8.63046463981134e-06,2.5839688840375832e-06
131,2.5776667439905094e-06,2.5321395654733975e-06,1.2035597949299933e-05,1.8234616874703905e-06,1.38759509591576e-05,2.0097336865680567e-07
132,-7.5281310934483676e-06,1.1727361296247173e-05,-2.154339351911619e-06,-3.6865840628034823e-06,-9.37237701226054e-07,-2.379672637443476e-07
133,-5.9448540115828524e-06,6.698941403815331e-06,5.142269913737915e-06,1.7524783696371673e-06,2.039837777897379e-05,1.9134065560739204e-07
134,1.1266793753969688e-06,1.967680075613227e-06,1.6104557260666296e-05,4.136872957110902e-06,4.209794945010084e-06,2.2910538538593405e-07
135,1.1585100703691085e-06,8.860880479380997e-06,2.4123730564236483e-05,4.418274145614976e-06,4.066219740000997e-06,1.3035890954644337e-06
136,3.9894312604800066e-06,6.453709816112564e-06,1.3882669485585513e-05,4.024493643248512e-06,-7.035563740614292e-07,1.192053151695395e-06
137,1.1017688953604276e-05,3.1589042120090776e-06,1.4472821544202303e-05,1.5350577984205209e-06,2.6540669372260074e-06,1.0158845679347698e-06
138,8.072840059302211e-07,-3.324514418013692e-06,7.691124484179581e-06,7.204093713372153e-06,-3.504278215088746e-06,6.430775953949918e-07
139,-1.5034733055191797e-06,-5.119855266773071e-06,4.264154148742157e-06,4.1530963675786295e-06,3.7779358596942727e-06,6.381917165177249e-07
140,-2.9603027688841865e-06,2.9741874223300707e-06,1.408458241784515e-06,-1.9245751378514478e-06,6.158031072240393e-06,3.237582053150706e-06
141,-1.9882497531697075e-06,8.787351642470038e-06,-7.2138304431153005e-06,-4.3780840897915513e-07,-2.4989163100243666e-06,1.6378723149130115e-06
142,6.312462496791031e-08,9.461315514490006e-06,-3.1626314408393077e-07,-2.2878690920443014e-06,-4.59686502743343e-06,1.9051731768465943e-07
143,-4.0186691526799244e-06,-1.3678929285147528e-06,4.128961618277003e-06,1.291458395269444e-07,-2.5442961470761695e-07,5.6921165585276315e-08
144,5.3225251649121635e-06,4.671848502688329e-06,8.46935259012208e-06,1.0446959039400147e-05,-4.043802308857956e-06,1.1712973283371642e-06
145,-6.326875209528221e-06,8.517352839468895e-06,9.908388937606054e-08,3.980464160517528e-06,-3.105375376737779e-06,2.530612154551258e-08
146,-7.1917417993072364e-06,1.1581416490519481e-05,-6.884975109271998e-06,-3.907775615362777e-07,4.41634285949318e-06,4.832011066083529e-07
147,1.1706951787585159e-05,1.1366223320950448e-05,5.035518632835508e-06,1.0021471973706348e-05,1.6870406930136136e-05,5.375877652533451e-07
148,4.157260240286431e-06,7.210228951878159e-06,4.694367035324096e-06,1.5611884171367147e-05,1.6909082425898108e-05,1.1509522273942156e-06
149,1.842511438544322e-06,1.6057985315107878e-07,-4.110734019249346e-06,5.71810804997218e-06,1.8438095172777782e-07,2.981649165397584e-06
150,2.012984308194668e-06,-2.9161178816803105e-06,-6.234318137466081e-06,3.4760246467097426e-06,8.48556338905461e-06,2.6247794179764367e-06
151,4.789091011286902e-06,4.300449623267196e-08,-5.977447775949393e-06,7.851574846127632e-07,-4.17092117426669e-07,1.5474373071571963e-06
