timestamps,node_ids
9466.000000002598,844
9441.200000002958,964
9184.700000006693,988
9322.400000004687,988
9478.10000000242,988
9611.100000000486,148
9533.20000000162,748
9824.199999997383,820
9504.40000000204,844
9985.899999995032,844
9545.700000001438,868
9558.700000001249,868
9738.999999998625,868
9922.299999995956,892
9950.099999995551,892
9697.199999999231,916
9826.299999997354,940
9606.600000000552,964
9736.49999999866,964
9923.899999995934,964
9822.599999997408,988
10208.999999991784,556
10183.19999999216,628
10101.699999993349,820
10252.099999991158,868
10270.599999990887,868
10319.699999990176,916
10408.499999988882,916
10460.79999998812,964
10007.199999994722,988
10337.19999998992,988
10748.999999983927,268
10959.499999980864,412
10543.499999986918,532
10867.099999982209,580
10707.799999984529,772
10596.399999986148,796
10757.899999983798,820
10671.699999985052,844
10579.699999986393,916
10656.199999985278,916
10666.29999998513,916
10529.69999998712,940
10624.299999985742,964
10738.099999984086,964
10967.099999980754,964
10576.699999986437,988
10786.69999998338,988
11236.199999976838,220
11257.899999976522,700
11188.299999977537,844
11119.999999978529,868
11206.299999977273,892
11133.69999997833,916
11143.499999978188,916
11315.09999997569,916
11486.799999973193,916
11190.199999977507,940
11408.599999974327,940
11117.999999978558,988
11708.09999996997,100
11832.899999968156,148
11860.299999967756,172
11605.69999997146,628
11739.599999969512,628
11936.89999996664,676
11536.99999997246,844
11577.799999971869,844
11655.89999997073,844
11677.29999997042,844
11614.499999971333,868
11516.699999972756,892
11700.49999997008,916
11946.099999966507,916
11598.999999971558,940
11704.099999970029,940
11994.899999965795,940
11594.09999997163,964
11605.299999971468,964
11950.899999966436,964
11500.899999972986,988
11512.799999972813,988
11595.999999971602,988
12039.099999965154,580
12075.899999964618,916
12155.099999963466,988
12870.599999953054,748
12560.29999995757,916
12889.39999995278,916
12507.899999958332,964
12551.699999957696,988
12575.199999957353,988
13324.099999946457,916
13103.19999994967,964
13366.499999945838,964
13439.19999994478,964
13645.599999941776,268
13695.399999941052,628
13770.999999939952,892
13841.999999938918,892
13510.899999943736,916
13759.49999994012,916
13777.099999939865,916
13999.799999936622,916
13754.499999940192,940
13770.799999939954,940
13594.699999942515,964
13741.299999940384,964
13921.299999937764,964
13548.39999994319,988
13776.699999939869,988
13889.699999938224,988
13983.49999993686,988
14051.899999935864,4
14241.7999999331,844
14264.699999932767,844
14300.29999993225,844
14311.89999993208,844
14456.29999992998,916
14227.199999933311,964
14244.59999993306,964
14046.299999935944,988
14179.599999934006,988
14327.299999931856,988
14811.599999924809,172
14692.69999992654,676
14904.499999923455,844
14592.699999927994,964
14666.49999992692,964
14764.0999999255,964
14779.399999925276,964
14917.799999923263,964
5443.900000011139,77
5045.000000009688,365
5459.000000011194,557
5342.000000010768,629
5030.900000009637,725
5251.200000010438,725
5031.600000009639,821
5052.500000009715,821
5348.700000010793,845
5205.900000010273,893
5402.90000001099,917
5138.100000010027,965
5265.900000010492,965
5361.400000010839,965
5371.200000010875,965
5202.30000001026,989
5364.3000000108495,989
5376.700000010895,989
5996.5000000131495,413
5907.500000012826,461
5671.700000011968,821
5958.700000013012,845
5820.60000001251,869
5722.300000012152,917
5831.200000012548,917
5558.400000011556,965
5754.900000012271,965
5766.100000012311,965
5558.9000000115575,989
5631.2000000118205,989
5751.400000012258,989
5908.80000001283,989
6476.000000014894,149
6141.600000013677,221
6289.100000014214,821
6209.500000013924,845
6097.300000013516,917
6082.100000013461,941
6309.100000014287,941
6135.100000013654,965
6217.000000013952,965
6257.1000000140975,965
6416.000000014676,965
6108.100000013556,989
6403.300000014629,989
6665.800000015584,53
6976.200000016714,605
6591.200000015313,725
6888.400000016394,725
6766.20000001595,821
6885.300000016383,821
6924.5000000165255,821
6862.4000000163,917
6688.900000015668,941
6780.600000016002,941
6850.000000016255,941
6963.000000016666,941
6902.100000016444,965
6916.300000016496,965
7373.500000018159,341
7085.400000017111,581
7136.300000017296,749
7326.000000017986,749
7412.2000000183,821
7440.600000018403,821
7498.200000018613,845
7378.6000000181775,893
7451.000000018441,893
7475.800000018531,893
7094.400000017144,917
7109.100000017197,941
7148.700000017341,965
7192.3000000175,965
7333.100000018012,965
7343.60000001805,965
7448.10000001843,965
7070.100000017055,989
7333.100000018012,989
7493.700000018596,989
7834.800000019837,509
7638.400000019123,605
7965.700000020313,749
7805.500000019731,845
7792.100000019682,893
7907.900000020103,893
7614.100000019034,917
7630.000000019092,965
7689.100000019307,965
7811.100000019751,965
7571.300000018879,989
7582.000000018917,989
7843.000000019867,989
8031.000000020551,317
8427.900000017704,581
8085.70000002075,653
8341.000000018968,821
8441.9000000175,821
8453.400000017333,821
8036.600000020571,845
8306.700000019468,869
8071.700000020699,893
8324.600000019207,893
8291.700000019686,917
8483.400000016896,917
8019.70000002051,941
8054.100000020635,941
8271.200000019984,941
8036.900000020572,965
8163.500000021033,965
8468.500000017113,965
8164.700000021037,989
8263.700000020093,989
8308.400000019443,989
8339.600000018989,989
8435.400000017595,989
8519.300000016374,197
8876.300000011179,221
8723.500000013402,749
8615.200000014978,821
8743.900000013105,821
8798.300000012314,821
8847.800000011594,845
8960.900000009948,845
8566.600000015686,869
8682.300000014002,893
8877.500000011161,893
8689.000000013904,965
8715.000000013526,965
8868.200000011297,965
8528.100000016246,989
8568.700000015655,989
8718.700000013472,989
8731.300000013289,989
9025.30000000901,173
9020.400000009082,389
